IATA,LAT,LON,CITY,STATE,AIRPT_NAME,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
HOM,59.645556,-151.476583,HOMER,AK,HOMER AIRPORT,5890,6647,8584,9111,10324,10351,11159,11799,11407,10790,5762
ISP,40.79525,-73.100222,ISLIP,NY,LONG ISLAND MAC ARTHUR AIRPORT,5796,2095,2255,1781,2947,3247,2747,2063,3864,3505,3578
ILM,34.270603,-77.902558,WILMINGTON,NC,WILMINGTON INTERNATIONAL AIRPORT,5777,3577,3143,2719,2737,3734,2296,1556,1597,2064,1294
CPX,18.311778,-65.303154,ISLA DE CULEBRA,PR,BENJAMIN RIVERA NORIEGA AIRPORT,5765,304,68,0,36,0,0,0,219,297,0
CRW,38.373139,-81.593194,CHARLESTON,WV,YEAGER AIRPORT,5750,3248,3125,2622,2960,3089,1997,1581,3821,3250,2617
AKN,58.676493,-156.648691,KING SALMON,AK,KING SALMON AIRPORT,5702,6550,6656,6859,7196,7732,8325,8848,8403,8970,8526
LFT,30.20525,-91.987611,LAFAYETTE,LA,LAFAYETTE REGIONAL AIRPORT,5693,935,1453,1770,1659,1363,1250,1213,1292,927,1005
BLI,48.792694,-122.537528,BELLINGHAM,WA,BELLINGHAM INTERNATIONAL AIRPORT,5615,3931,3995,3187,2655,2899,2284,2495,2075,1694,1582
CHO,38.138639,-78.452861,CHARLOTTESVILLE,VA,CHARLOTTESVILLE-ALBEMARLE AIRPORT,5594,1710,872,1708,1434,2861,1429,1348,1477,1726,1540
SBN,41.708222,-86.317333,SOUTH BEND,IN,SOUTH BEND REGIONAL AIRPORT,5574,3035,4180,4842,5179,4600,4106,3767,4013,4729,4265
MOB,30.691417,-88.242833,MOBILE,AL,MOBILE REGIONAL AIRPORT,5557,1219,1261,1110,704,1413,2211,1250,1751,1440,1499
ABE,40.652363,-75.440401,ALLENTOWN,PA,LEHIGH VALLEY INTERNATIONAL AIRPORT,5527,4492,4825,5065,4998,6131,5496,4999,7157,6753,8481
CRP,27.770361,-97.501222,CORPUS CHRISTI,TX,CORPUS CHRISTI INTERNATIONAL AIRPORT,5512,1419,970,688,1015,1293,977,906,1332,625,1026
AVL,35.436194,-82.541806,ASHEVILLE,NC,ASHEVILLE REGIONAL AIRPORT,5504,2807,2376,3108,2970,2469,3131,2607,4468,2203,2513
GRB,44.484639,-88.129722,GREEN BAY,WI,AUSTIN STRAUBEL INTERNATIONAL AIRPORT,5410,2991,3821,3876,4662,4426,4282,4162,4888,4026,2689
RDM,44.254056,-121.149972,REDMOND,OR,ROBERTS FIELD AIRPORT,5268,2625,2038,1451,2731,3161,1942,1269,1006,607,543
FNT,42.965417,-83.743667,FLINT,MI,BISHOP INTERNATIONAL AIRPORT,5267,3510,2409,3200,3459,3907,5635,4861,5171,5788,6096
PSC,46.264694,-119.119028,PASCO,WA,TRI-CITIES AIRPORT,5243,3394,2966,2533,2560,2994,2758,1665,2925,1837,1148
ANI,61.581597,-159.543043,ANIAK,AK,ANIAK AIRPORT,5178,6409,6677,7202,7351,7646,7376,8606,9316,9896,9120
KSM,62.060833,-163.30183,ST MARY'S,AK,ST MARY'S AIRPORT,5107,6158,5967,6525,5912,5298,5842,7379,6896,5926,6874
MSO,46.916306,-114.090556,MISSOULA,MT,MISSOULA INTERNATIONAL AIRPORT,5085,1790,1967,1924,1859,2135,1834,2863,3634,2286,1718
RAP,44.045333,-103.057361,RAPID CITY,SD,RAPID CITY REGIONAL AIRPORT,4966,3100,2794,2471,3177,3301,2559,1971,1978,1445,1000
GTF,47.482654,-111.37061,GREAT FALLS,MT,GREAT FALLS INTERNATIONAL AIRPORT,4964,3439,3221,3289,3556,4806,3780,2843,4226,4274,2375
PHF,37.131889,-76.492972,NEWPORT NEWS,VA,NEWPORT NEWS/WILLIAMSBURG INTERNATIONAL AIRPORT,4885,771,1543,2429,3002,3267,2589,2314,3591,2887,1765
EMK,62.786139,-164.49075,EMMONAK,AK,EMMONAK AIRPORT,4838,5161,5779,5576,5618,5809,6190,7165,6495,6611,7037
GPT,30.407269,-89.070097,GULFPORT,MS,GULFPORT-BILOXI INTERNATIONAL AIRPORT,4646,2303,1674,2272,2477,1874,2989,2660,2893,2549,2505
FAY,34.991222,-78.880278,FAYETTEVILLE,NC,FAYETTEVILLE REGIONAL/GRANNIS FIELD,4524,1708,1478,1041,872,661,397,437,886,784,485
ATW,44.258083,-88.519083,APPLETON,WI,OUTAGAMIE COUNTY REGIONAL AIRPORT,4520,1848,2507,3358,3685,3748,3059,1889,2897,3161,2773
MRY,36.587,-121.842944,MONTEREY,CA,MONTEREY PENINSULA AIRPORT,4481,1141,1284,1516,1414,1681,2066,1873,2091,1590,886
ACY,39.457583,-74.577167,ATLANTIC CITY,NJ,ATLANTIC CITY INTERNATIONAL AIRPORT,4395,4179,5097,4518,4132,3097,2446,3084,4627,4397,3299
AGS,33.369944,-81.9645,AUGUSTA,GA,AUGUSTA REGIONAL AT BUSH FIELD,4377,1812,1511,1146,1451,1799,793,549,692,693,1153
GNV,29.690056,-82.271778,GAINESVILLE,FL,GAINESVILLE REGIONAL AIRPORT,4340,1154,1086,434,66,96,610,744,1518,1017,712
GFK,47.947267,-97.173781,GRAND FORKS,ND,GRAND FORKS INTERNATIONAL AIRPORT,4321,3669,3478,3301,3493,4243,4158,3812,4124,3945,2915
GJT,39.122413,-108.526735,GRAND JUNCTION,CO,GRAND JUNCTION REGIONAL AIRPORT,4299,1938,1847,2116,1775,3061,1020,1003,1637,924,765
DLG,59.044667,-158.5055,DILLINGHAM,AK,DILLINGHAM AIRPORT,4217,5298,6171,6421,6645,6790,7848,8150,8232,9034,9370
MFE,26.175833,-98.238611,MC ALLEN,TX,MC ALLEN MILLER INTERNATIONAL AIRPORT,4197,1222,1384,1900,1745,2441,1385,1161,1839,1258,1052
AVP,41.338472,-75.723389,WILKES-BARRE/SCRANTON,PA,WILKES-BARRE/SCRANTON INTERNATIONAL AIRPORT,4169,3233,2851,2056,1829,2958,2512,2586,3559,3277,3761
BGR,44.807444,-68.828139,BANGOR,ME,BANGOR INTERNATIONAL AIRPORT,4090,3079,3186,2742,2972,3753,2597,2667,3483,3020,2463
BFI,47.53,-122.301972,SEATTLE,WA,BOEING FIELD/KING COUNTY INTERNATIONAL AIRPORT,4081,2996,3345,3920,3519,3815,3503,3768,3414,2961,2386
AFW,32.987639,-97.318806,FORT WORTH,TX,FORT WORTH ALLIANCE AIRPORT,4016,4636,4564,4823,4185,3135,4042,4758,5990,5073,3800
LAN,42.778639,-84.586194,LANSING,MI,CAPITAL CITY AIRPORT,4001,1780,2247,2601,1829,2268,3586,3565,4039,4586,2847
ASE,39.223167,-106.868861,ASPEN,CO,ASPEN-PITKIN COUNTY/SARDY FIELD,3956,1054,818,551,503,852,784,720,943,622,621
