Carrier Name,Passengers,Seats,Distance (miles),Air Time (hours),Payload (tons),Freight (tons),Mail (tons)
Acropolis Aviation Ltd.,0,38,2353,0,26.4,0,0
Air China,0,0,138820,0,29357.8835,24504.0315,0
Air Atlanta Icelandic,0,0,2689,0,301.3645,0.88,0
Hageland Aviation Service,250682,677705,1146162,41371.91667,108666.1695,2990.4745,11059.0455
Homer Air,7914,24260,5721,1263.966667,3153.8,253.7485,0
Compagnie Natl Air France,2492,2786,19872,0,4757.813,2769.9615,0
Asiana Airlines Inc.,0,0,76315,0,160256.514,59805.0175,0
Global Supply System,0,0,6275,0,4245.6195,1740.786,0
Servant Air Inc.,8243,23483,31973,1683.716667,2697.088,290.535,28.794
Iliamna Air Taxi,11570,32022,143499,2293.933333,4433.85,147.0975,148.8425
Air Canada,8595,11485,85010,0,2436.1985,0.0365,0
"SeaPort Airlines, Inc. d/b/a Wings of Alaska",76502,189023,78217,17920.33333,29825.841,265.6545,137.732
Kenmore Air Harbor,62794,126297,52889,6550.95,15893.7545,37.2075,0
Cayman Airways Limited,0,120,228,0,15.0855,0,0
Gainjet Aviation SA,197,568,12653,0,62.277,0,0
AirBridgeCargo Airlines Limited,0,0,6416,0,16149.834,3661.4665,0
Empire Airlines Inc.,60723,140832,196341,15147.9,77154.945,24137.498,0
Unijet,1,14,223,0,1.4015,0,0
Jet Aviation Business Jets AG,4,12,594,0,1.2145,0,0
DCA,13,80,4698,0,17.995,0,0
Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),0,462,182,0,153.701,0,0
Swiss Air Ambulance,3,22,1963,0,1.1,0,0
Aeromexico,3117,4528,7268,0,534.6715,12.7365,0
Lan-Chile Airlines,574,720,5772,0,501.9765,239.7555,0
ACM AIR CHARTER GmbH,40,209,15772,0,26.29,0,0
Tyrolean Jet Service,18,128,3339,0,24.5,0,0
Envoy Air,7712622,9830624,2293431,229153.5333,1212870.97,282.3585,2.287
Norwegian Air Shuttle ASA,471,842,250,0,141.9,5.5045,0
AirTran Airways Corporation,6385089,8074230,1008476,108616.4333,933959.25,3453.8225,0
Air Canada rouge LP,1000,1080,4458,0,164.7715,0.197,0
Lan Colombia,0,0,124,0,170.5,146.1985,0
Iberia Air Lines Of Spain,198,278,62,0,47.74,0,0
Polskie Linie Lotnicze,0,0,8360,0,0,0,0
Aerolitoral,160,297,630,0,42.903,0,0
Air Berlin PLC and CO,240,290,104,0,51.94,9.6855,0
Klm Royal Dutch Airlines,1395,1452,564,0,227.978,45.61,0
Katmai Air,13552,22504,7526,1443.55,2539.65,161.235,0.0105
Tap-Portuguese Airlines,724,789,366,0,142.34,1.242,0
Condor Flugdienst,2240,3094,1044,0,295.284,0.0045,0
"Charter Air Transport, Inc.",28547,40913,137841,1260.566667,7764.403,0,0
Star Marianas Air Inc.,43811,63608,5411,2420.85,7351.3,316.4525,0
VistaJet Luftfahrtunternehmen GmbH,16,56,3786,0,6.482,0,0
Titan Airways,230,265,213,0,38.5,0,0
Virgin Atlantic Airways,1858,2604,2016,0,650.0005,8.7385,0
Aerovias de Intergracian Regional,204,221,62,0,49.5,0,0
Era Aviation,361563,576724,276405,16294.63333,63273.3725,1187.0015,995.3865
Casino Express,20196,48932,144485,542.1,5901.58,0,0
Propair,0,9,777,0,0.66,0,0
Bertelsmann Aviation GmbH,6,40,6394,0,11.982,0,0
XL Airways France,0,0,184,0,0,0,0
Finnair Oy,237,252,187,0,45.76,3.278,0
Florida West Airlines Inc.,0,0,2178,4.733333333,126,11.3185,0
Jazz Aviation LP,0,37,186,0,4.4495,0,0
Scandinavian Airlines Sys.,240,400,67,0,37.346,12.044,0
Amerijet International,0,0,34739,2235.9,28009.665,12227.8165,9.5215
Polynesian Airlines Ltd.,143,176,87,0,18.7065,0,0
Flying Service N.V.,9,52,2868,0,2.196,0,0
Privatair,59,88,2558,0,27.5,0,0
"Mokulele Flight Services, Inc.",185880,243234,14775,17795.16667,56754.6,0,0
Corporate Flight Management Inc.,10716,16303,16076,879.7333333,1828.809,0,0
Orange Air,8143,21660,60994,235.3833333,2260.5,0,0
Air Georgian,16,18,219,0,1.602,0,0
"Air Charter, Inc d/b/a Air Flamenco",51051,91287,10109,3016.616667,12949.805,143.4215,497.612
Cape Air,537561,888463,90748,55779.91667,91817.784,0,324.677
ExpressJet Airlines Inc.,21285304,26354652,9020617,626235.5167,2971075.42,8.471,0.761
SkyWest Airlines Inc.,19602790,24306224,7357013,555899.2833,3160123.744,0,0
Mesa Airlines Inc.,6450303,7797948,1479019,123831,1004603.777,329.0935,30.276
Air Wisconsin Airlines Corp,4181299,5367300,1021865,109366,1272029.812,546.922,22.8915
"Commutair Aka Champlain Enterprises, Inc.",863410,1156003,229270,24968.8,164458.56,0,0
United Parcel Service,0,0,4527568,138738,4164104.769,2253360.288,68028.8065
PSA Airlines Inc.,3926310,4847698,1063651,88043.26667,612007.86,744.127,43.924
Piedmont Airlines,2264842,3028014,294818,59519.88333,351786.15,224.559,9.597
Tradewinds Airlines,0,0,29537,192.3833333,6584.1,3773.992,0
Seaborne Aviation,160543,247174,8378,3876.933333,57368.676,1305.6525,0
Ultimate JetCharters LLC dba Ultimate Air Shuttle,23064,33900,28486,1322.966667,3867.704,0,0
Freedom Air,3074,5122,1356,129.9333333,574.027,97.495,18.567
Boutique Air,2060,3928,4992,670.6666667,392.8,0,0
"Reeve Air Alaska, LLC",299,1064,2016,109.5,127.12,21.2,0
Ellis Air Taxi Inc.,454,1593,6624,518.4,340.2,0.5815,13.8275
Air Sunshine Inc.,1212,9036,1858,316.5,888.422,0,0
West Isle Air,2672,18604,814,869.6,2227.38,0,0
Vieques Air Link Inc.,62514,108144,3114,2946.9,10834.8,113.5675,0
New England Airlines Inc.,19008,38514,612,1070.4,3851.4,16,0
Pacific Wings Airlines,8115,20169,5238,1687.066667,3921.75,0,0
"Multi-Aero, Inc. d/b/a Air Choice One",28866,51448,16416,7048.666667,5960.508,0,0
Makani Kai Air Charters,7265,21008,1266,606.65,2426.4,0,0
Grand Canyon Helicopters,1385,3228,531,269,447.136,0,0
Sun Air Express LLC dba Sun Air International,8673,45328,5022,3531.933333,8895.62,0,0
City Wings Inc dba Seaflight,14360,20484,810,682.1333333,1685.94,0,0
